Pond_name,Pond_code,Season,TimeOfDay,Naturalization,Date,FCH4_mgCO2eqm2d1,FCO2_mgCO2eqm2d1,FN2O_mgCO2eqm2d1
Aclimatacio,03-111,Summer,Day,Yes,2023-07-24,209,1256,-34
Aclimatacio,03-111,Winter,Day,Yes,2024-01-22,86,1484,451
BassaPetita,05-011,Summer,Day,Yes,2023-07-26,216,2972,160
BassaPetita,05-011,Winter,Day,Yes,2024-01-24,19,2746,179
BassaRecollida,07-030,Summer,Day,Yes,2023-07-25,314,471,26
BassaRecollida,07-030,Winter,Day,Yes,2024-01-29,50,262,183
BotanicA,00-001,Summer,Day,Yes,2023-07-24,154,1747,-3
BotanicA,00-001,Winter,Day,Yes,2024-01-22,27,262,175
BotanicB,00-002,Summer,Day,Yes,2023-07-24,286,915,110
BotanicB,00-002,Winter,Day,Yes,2024-01-22,3,138,338
Cascada2,03-042,Summer,Day,No,2023-07-27,5,5438,2925
Cascada2,03-042,Winter,Day,No,2024-01-25,2,338,502
Cascada3,03-043,Summer,Day,No,2023-07-27,3,3568,20494
Cascada3,03-043,Winter,Day,No,2024-01-25,3,911,5920
CascadaClasica,05-019,Summer,Day,Yes,2023-07-26,4,259,-1
CascadaClasica,05-019,Winter,Day,Yes,2024-01-24,3,93,153
CascadeFontdelGat,03-018,Summer,Day,Yes,2023-07-24,48,469,48
CascadeFontdelGat,03-018,Winter,Day,Yes,2024-01-22,2,136,138
CascadeGeneralife,03-038,Summer,Day,Yes,2023-07-24,87,375,-25
CascadeGeneralife,03-038,Winter,Day,Yes,2024-01-22,3,64,127
Cascades1,03-113,Summer,Day,Yes,2023-07-24,930,13472,1621
Cascades1,03-113,Winter,Day,Yes,2024-01-22,78,1970,1730
Cascades2,03-113,Summer,Day,Yes,2023-07-24,1040,3843,-25
Cascades2,03-113,Winter,Day,Yes,2024-01-22,22,441,926
DolorsPiera,10-046,Summer,Day,Yes,2023-07-28,2,-21,-11
DolorsPiera,10-046,Winter,Day,Yes,2024-01-24,2,102,83
Enees,07-029,Summer,Day,Yes,2023-07-25,1007,1985,-2
Enees,07-029,Winter,Day,Yes,2024-01-29,10,325,224
EstanyCanFabra,09-013,Summer,Day,No,2023-07-27,76,861,2894
EstanyCanFabra,09-013,Winter,Day,No,2024-01-25,9,1233,2971
EstanyCuadrat,03-023,Summer,Day,Yes,2023-07-24,34,637,75
EstanyCuadrat,03-023,Winter,Day,Yes,2024-01-22,5,670,354
EstanyDofins,07-026,Summer,Day,Yes,2023-07-25,363,30,24
EstanyDofins,07-026,Winter,Day,Yes,2024-01-29,12,186,144
EstanyLleons,05-013,Summer,Day,No,2023-07-26,88,601,9
EstanyLleons,05-013,Winter,Day,No,2024-01-24,8,80,172
EstanyPabelloItalia,03-033,Summer,Day,No,2023-07-27,3,4759,14015
EstanyPabelloItalia,03-033,Winter,Day,No,2024-01-25,2,1887,2516
EstanySuperior,03-005,Summer,Day,Yes,2023-07-24,121,1405,382
EstanySuperior,03-005,Winter,Day,Yes,2024-01-22,1,254,282
Faune,07-018,Summer,Day,Yes,2023-07-25,1850,336,7
Faune,07-018,Winter,Day,Yes,2024-01-29,46,112,133
FontGranotes,05-018,Summer,Day,Yes,2023-07-26,30,324,3
FontGranotes,05-018,Winter,Day,Yes,2024-01-24,3,143,344
FontNimfa,07-027,Summer,Day,Yes,2023-07-25,4188,76,-1
FontNimfa,07-027,Winter,Day,Yes,2024-01-29,285,97,93
FontOctogonal,03-036,Summer,Day,Yes,2023-07-24,303,425,75
FontOctogonal,03-036,Winter,Day,Yes,2024-01-22,3,419,259
FontTriangular,08-021,Summer,Day,No,2023-07-27,17,6508,39206
FontTriangular,08-021,Winter,Day,No,2024-01-25,3,2456,3318
Forestal,07-028,Summer,Day,Yes,2023-07-25,727,219,19
Forestal,07-028,Winter,Day,Yes,2024-01-29,91,468,250
InferiorJardiRomantic,07-032,Summer,Day,Yes,2023-07-25,780,786,21
InferiorJardiRomantic,07-032,Winter,Day,Yes,2024-01-29,21,483,165
LlacParcMirador,03-109,Summer,Day,No,2023-07-27,10,3818,8390
LlacParcMirador,03-109,Winter,Day,No,2024-01-25,1,619,1228
Maquinista,09-010,Summer,Day,No,2023-07-27,2,646,1095
Maquinista,09-010,Winter,Day,No,2024-01-25,2,1371,748
Muntaner,05-026,Summer,Day,No,2023-07-26,21,42,-2
Muntaner,05-026,Winter,Day,No,2024-01-24,48,189,195
MuntanerCascada,05-025,Summer,Day,No,2023-07-26,26,-68,-23
MuntanerCascada,05-025,Winter,Day,No,2024-01-24,31,184,170
Nenufars,05-012,Summer,Day,Yes,2023-07-26,573,1621,84
Nenufars,05-012,Winter,Day,Yes,2024-01-24,48,257,261
PalauReal,04-021,Summer,Day,Yes,2023-07-26,538,NA,-1
PalauReal,04-021,Winter,Day,Yes,2024-01-24,177,284,133
ParcDiagonal,10-032,Summer,Day,No,2023-07-28,98,-83,154
ParcDiagonal,10-032,Winter,Day,No,2024-01-25,8,-212,293
PassatgeMaluquer,05-022,Summer,Day,No,2023-07-26,97,71,-6
PassatgeMaluquer,05-022,Winter,Day,No,2024-01-24,8,861,170
PlacaGaudi,02-005,Summer,Day,No,2023-07-27,43,1653,1879
PlacaGaudi,02-005,Winter,Day,No,2024-01-25,6,5546,1286
RavellatA,07-044,Summer,Day,Yes,2023-07-28,75,2481,46
RavellatA,07-044,Winter,Day,Yes,2024-01-23,40,1997,35
RavellatB,07-045,Summer,Day,Yes,2023-07-28,339,1863,20
RavellatB,07-045,Winter,Day,Yes,2024-01-23,585,951,138
RoserarCollaArros,03-021,Summer,Day,Yes,2023-07-24,90,686,36
RoserarCollaArros,03-021,Winter,Day,Yes,2024-01-22,44,410,198
Soller,08-002,Summer,Day,Yes,2023-07-28,648,287,14
Soller,08-002,Winter,Day,Yes,2024-01-23,86,1551,183
SuperiorJardiRomantic,07-033,Summer,Day,Yes,2023-07-25,643,135,46
SuperiorJardiRomantic,07-033,Winter,Day,Yes,2024-01-29,96,606,218
